,data_dict,delta_Hmix,delta_Smix,delta_R,VECmix,Tmix,Omiga,is_stable,phase
2517,"{""Pd"": 0.3, ""Pt"": 0.05, ""Al"": 0.05, ""Cu"": 0.3, ""Au"": 0.3}",-13.22,11.499,4.793,10.25,1504.966,1.309,True,FCC
2518,"{""Pd"": 0.3, ""Pt"": 0.05, ""Al"": 0.05, ""Cu"": 0.35, ""Au"": 0.25}",-13.92,11.43,4.871,10.25,1505.968,1.237,True,FCC
2519,"{""Pd"": 0.3, ""Pt"": 0.05, ""Al"": 0.1, ""Cu"": 0.2, ""Au"": 0.35}",-15.52,11.894,4.378,9.85,1482.748,1.136,True,FCC
2552,"{""Pd"": 0.3, ""Pt"": 0.1, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.35}",-11.26,11.894,4.316,10.2,1538.336,1.625,True,FCC
2553,"{""Pd"": 0.3, ""Pt"": 0.1, ""Al"": 0.05, ""Cu"": 0.25, ""Au"": 0.3}",-12.39,12.047,4.528,10.2,1539.336,1.497,True,FCC
2554,"{""Pd"": 0.3, ""Pt"": 0.1, ""Al"": 0.05, ""Cu"": 0.3, ""Au"": 0.25}",-13.34,12.047,4.658,10.2,1540.338,1.391,True,FCC
2555,"{""Pd"": 0.3, ""Pt"": 0.1, ""Al"": 0.05, ""Cu"": 0.35, ""Au"": 0.2}",-14.11,11.894,4.711,10.2,1541.338,1.299,True,FCC
2556,"{""Pd"": 0.3, ""Pt"": 0.1, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.35}",-14.75,12.252,3.985,9.8,1517.118,1.26,True,FCC
2557,"{""Pd"": 0.3, ""Pt"": 0.1, ""Al"": 0.1, ""Cu"": 0.2, ""Au"": 0.3}",-15.76,12.511,4.285,9.8,1518.119,1.205,True,FCC
2558,"{""Pd"": 0.3, ""Pt"": 0.1, ""Al"": 0.1, ""Cu"": 0.25, ""Au"": 0.25}",-16.59,12.595,4.493,9.8,1519.12,1.153,True,FCC
2559,"{""Pd"": 0.3, ""Pt"": 0.1, ""Al"": 0.1, ""Cu"": 0.3, ""Au"": 0.2}",-17.24,12.511,4.619,9.8,1520.121,1.103,True,FCC
2589,"{""Pd"": 0.3, ""Pt"": 0.15, ""Al"": 0.05, ""Cu"": 0.15, ""Au"": 0.35}",-9.94,12.035,3.933,10.15,1572.706,1.904,True,FCC
2590,"{""Pd"": 0.3, ""Pt"": 0.15, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.3}",-11.32,12.293,4.214,10.15,1573.706,1.709,True,FCC
2591,"{""Pd"": 0.3, ""Pt"": 0.15, ""Al"": 0.05, ""Cu"": 0.25, ""Au"": 0.25}",-12.52,12.377,4.403,10.15,1574.708,1.557,True,FCC
2592,"{""Pd"": 0.3, ""Pt"": 0.15, ""Al"": 0.05, ""Cu"": 0.3, ""Au"": 0.2}",-13.54,12.293,4.509,10.15,1575.709,1.431,True,FCC
2593,"{""Pd"": 0.3, ""Pt"": 0.15, ""Al"": 0.05, ""Cu"": 0.35, ""Au"": 0.15}",-14.38,12.035,4.535,10.15,1576.71,1.32,True,FCC
2594,"{""Pd"": 0.3, ""Pt"": 0.15, ""Al"": 0.1, ""Cu"": 0.1, ""Au"": 0.35}",-13.74,12.252,3.514,9.75,1551.488,1.383,True,FCC
2595,"{""Pd"": 0.3, ""Pt"": 0.15, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.3}",-15.0,12.652,3.903,9.75,1552.489,1.309,True,FCC
2596,"{""Pd"": 0.3, ""Pt"": 0.15, ""Al"": 0.1, ""Cu"": 0.2, ""Au"": 0.25}",-16.08,12.841,4.18,9.75,1553.49,1.241,True,FCC
2597,"{""Pd"": 0.3, ""Pt"": 0.15, ""Al"": 0.1, ""Cu"": 0.25, ""Au"": 0.2}",-16.98,12.841,4.365,9.75,1554.491,1.176,True,FCC
2598,"{""Pd"": 0.3, ""Pt"": 0.15, ""Al"": 0.1, ""Cu"": 0.3, ""Au"": 0.15}",-17.7,12.652,4.467,9.75,1555.492,1.112,True,FCC
2625,"{""Pd"": 0.3, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.1, ""Au"": 0.35}",-8.38,11.894,3.472,10.1,1607.076,2.281,True,FCC
2626,"{""Pd"": 0.3, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.15, ""Au"": 0.3}",-10.01,12.293,3.841,10.1,1608.076,1.975,True,FCC
2627,"{""Pd"": 0.3, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.25}",-11.46,12.482,4.099,10.1,1609.077,1.753,True,FCC
2628,"{""Pd"": 0.3, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.25, ""Au"": 0.2}",-12.73,12.482,4.264,10.1,1610.078,1.579,True,FCC
2629,"{""Pd"": 0.3, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.3, ""Au"": 0.15}",-13.82,12.293,4.344,10.1,1611.08,1.433,True,FCC
2630,"{""Pd"": 0.3, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.35, ""Au"": 0.1}",-14.73,11.894,4.341,10.1,1612.08,1.302,True,FCC
2631,"{""Pd"": 0.3, ""Pt"": 0.2, ""Al"": 0.1, ""Cu"": 0.05, ""Au"": 0.35}",-12.49,11.894,2.926,9.7,1585.858,1.51,True,FCC
2632,"{""Pd"": 0.3, ""Pt"": 0.2, ""Al"": 0.1, ""Cu"": 0.1, ""Au"": 0.3}",-14.0,12.511,3.441,9.7,1586.859,1.418,True,FCC
2633,"{""Pd"": 0.3, ""Pt"": 0.2, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.25}",-15.33,12.841,3.807,9.7,1587.86,1.33,True,FCC
2634,"{""Pd"": 0.3, ""Pt"": 0.2, ""Al"": 0.1, ""Cu"": 0.2, ""Au"": 0.2}",-16.48,12.946,4.062,9.7,1588.861,1.248,True,FCC
2635,"{""Pd"": 0.3, ""Pt"": 0.2, ""Al"": 0.1, ""Cu"": 0.25, ""Au"": 0.15}",-17.45,12.841,4.223,9.7,1589.862,1.17,True,FCC
2658,"{""Pd"": 0.3, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.05, ""Au"": 0.35}",-6.58,11.43,2.896,10.05,1641.446,2.851,True,FCC
2659,"{""Pd"": 0.3, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.1, ""Au"": 0.3}",-8.46,12.047,3.388,10.05,1642.446,2.339,True,FCC
2660,"{""Pd"": 0.3, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.15, ""Au"": 0.25}",-10.16,12.377,3.734,10.05,1643.447,2.002,True,FCC
2661,"{""Pd"": 0.3, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.2}",-11.68,12.482,3.969,10.05,1644.448,1.757,True,FCC
2662,"{""Pd"": 0.3, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.25, ""Au"": 0.15}",-13.02,12.377,4.11,10.05,1645.45,1.564,True,FCC
2663,"{""Pd"": 0.3, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.3, ""Au"": 0.1}",-14.18,12.047,4.162,10.05,1646.45,1.399,True,FCC
2664,"{""Pd"": 0.3, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.35, ""Au"": 0.05}",-15.16,11.43,4.126,10.05,1647.451,1.242,True,FCC
2665,"{""Pd"": 0.3, ""Pt"": 0.25, ""Al"": 0.1, ""Cu"": 0.05, ""Au"": 0.3}",-12.76,12.047,2.863,9.65,1621.229,1.531,True,FCC
2666,"{""Pd"": 0.3, ""Pt"": 0.25, ""Al"": 0.1, ""Cu"": 0.1, ""Au"": 0.25}",-14.34,12.595,3.354,9.65,1622.23,1.425,True,FCC
2667,"{""Pd"": 0.3, ""Pt"": 0.25, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.2}",-15.74,12.841,3.697,9.65,1623.231,1.324,True,FCC
2668,"{""Pd"": 0.3, ""Pt"": 0.25, ""Al"": 0.1, ""Cu"": 0.2, ""Au"": 0.15}",-16.96,12.841,3.929,9.65,1624.232,1.23,True,FCC
2669,"{""Pd"": 0.3, ""Pt"": 0.25, ""Al"": 0.1, ""Cu"": 0.25, ""Au"": 0.1}",-18.0,12.595,4.065,9.65,1625.233,1.137,True,FCC
2686,"{""Pd"": 0.3, ""Pt"": 0.3, ""Al"": 0.05, ""Cu"": 0.05, ""Au"": 0.3}",-6.67,11.499,2.821,10.0,1676.816,2.891,True,FCC
2687,"{""Pd"": 0.3, ""Pt"": 0.3, ""Al"": 0.05, ""Cu"": 0.1, ""Au"": 0.25}",-8.62,12.047,3.29,10.0,1677.817,2.345,True,FCC
2688,"{""Pd"": 0.3, ""Pt"": 0.3, ""Al"": 0.05, ""Cu"": 0.15, ""Au"": 0.2}",-10.39,12.293,3.613,10.0,1678.818,1.986,True,FCC
2689,"{""Pd"": 0.3, ""Pt"": 0.3, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.15}",-11.98,12.293,3.824,10.0,1679.819,1.724,True,FCC
2690,"{""Pd"": 0.3, ""Pt"": 0.3, ""Al"": 0.05, ""Cu"": 0.25, ""Au"": 0.1}",-13.39,12.047,3.937,10.0,1680.82,1.512,True,FCC
2691,"{""Pd"": 0.3, ""Pt"": 0.3, ""Al"": 0.05, ""Cu"": 0.3, ""Au"": 0.05}",-14.62,11.499,3.959,10.0,1681.821,1.323,True,FCC
2692,"{""Pd"": 0.3, ""Pt"": 0.3, ""Al"": 0.1, ""Cu"": 0.05, ""Au"": 0.25}",-13.11,12.047,2.784,9.6,1656.6,1.522,True,FCC
2693,"{""Pd"": 0.3, ""Pt"": 0.3, ""Al"": 0.1, ""Cu"": 0.1, ""Au"": 0.2}",-14.76,12.511,3.252,9.6,1657.601,1.405,True,FCC
2694,"{""Pd"": 0.3, ""Pt"": 0.3, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.15}",-16.23,12.652,3.572,9.6,1658.602,1.293,True,FCC
2695,"{""Pd"": 0.3, ""Pt"": 0.3, ""Al"": 0.1, ""Cu"": 0.2, ""Au"": 0.1}",-17.52,12.511,3.779,9.6,1659.603,1.185,True,FCC
2707,"{""Pd"": 0.3, ""Pt"": 0.35, ""Al"": 0.05, ""Cu"": 0.05, ""Au"": 0.25}",-6.84,11.43,2.728,9.95,1712.188,2.861,True,FCC
2708,"{""Pd"": 0.3, ""Pt"": 0.35, ""Al"": 0.05, ""Cu"": 0.1, ""Au"": 0.2}",-8.86,11.894,3.175,9.95,1713.188,2.3,True,FCC
2709,"{""Pd"": 0.3, ""Pt"": 0.35, ""Al"": 0.05, ""Cu"": 0.15, ""Au"": 0.15}",-10.7,12.035,3.475,9.95,1714.189,1.928,True,FCC
2710,"{""Pd"": 0.3, ""Pt"": 0.35, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.1}",-12.36,11.894,3.66,9.95,1715.191,1.651,True,FCC
2711,"{""Pd"": 0.3, ""Pt"": 0.35, ""Al"": 0.05, ""Cu"": 0.25, ""Au"": 0.05}",-13.84,11.43,3.744,9.95,1716.192,1.417,True,FCC
2712,"{""Pd"": 0.3, ""Pt"": 0.35, ""Al"": 0.1, ""Cu"": 0.05, ""Au"": 0.2}",-13.54,11.894,2.688,9.55,1691.971,1.486,True,FCC
2713,"{""Pd"": 0.3, ""Pt"": 0.35, ""Al"": 0.1, ""Cu"": 0.1, ""Au"": 0.15}",-15.26,12.252,3.134,9.55,1692.972,1.359,True,FCC
2714,"{""Pd"": 0.3, ""Pt"": 0.35, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.1}",-16.8,12.252,3.43,9.55,1693.973,1.235,True,FCC
2715,"{""Pd"": 0.3, ""Pt"": 0.35, ""Al"": 0.1, ""Cu"": 0.2, ""Au"": 0.05}",-18.16,11.894,3.611,9.55,1694.974,1.11,True,FCC
2722,"{""Pd"": 0.35, ""Pt"": 0.05, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.35}",-11.74,11.277,4.32,10.2,1527.336,1.467,True,FCC
2723,"{""Pd"": 0.35, ""Pt"": 0.05, ""Al"": 0.05, ""Cu"": 0.25, ""Au"": 0.3}",-12.85,11.43,4.526,10.2,1528.336,1.359,True,FCC
2724,"{""Pd"": 0.35, ""Pt"": 0.05, ""Al"": 0.05, ""Cu"": 0.3, ""Au"": 0.25}",-13.78,11.43,4.65,10.2,1529.338,1.269,True,FCC
2725,"{""Pd"": 0.35, ""Pt"": 0.05, ""Al"": 0.05, ""Cu"": 0.35, ""Au"": 0.2}",-14.53,11.277,4.697,10.2,1530.338,1.188,True,FCC
2726,"{""Pd"": 0.35, ""Pt"": 0.05, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.35}",-15.23,11.635,3.994,9.8,1506.118,1.151,True,FCC
2727,"{""Pd"": 0.35, ""Pt"": 0.05, ""Al"": 0.1, ""Cu"": 0.2, ""Au"": 0.3}",-16.22,11.894,4.288,9.8,1507.119,1.105,True,FCC
2759,"{""Pd"": 0.35, ""Pt"": 0.1, ""Al"": 0.05, ""Cu"": 0.15, ""Au"": 0.35}",-10.38,11.635,3.941,10.15,1561.706,1.751,True,FCC
2760,"{""Pd"": 0.35, ""Pt"": 0.1, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.3}",-11.74,11.894,4.215,10.15,1562.706,1.583,True,FCC
2761,"{""Pd"": 0.35, ""Pt"": 0.1, ""Al"": 0.05, ""Cu"": 0.25, ""Au"": 0.25}",-12.92,11.977,4.399,10.15,1563.708,1.45,True,FCC
2762,"{""Pd"": 0.35, ""Pt"": 0.1, ""Al"": 0.05, ""Cu"": 0.3, ""Au"": 0.2}",-13.92,11.894,4.499,10.15,1564.709,1.337,True,FCC
2763,"{""Pd"": 0.35, ""Pt"": 0.1, ""Al"": 0.05, ""Cu"": 0.35, ""Au"": 0.15}",-14.74,11.635,4.518,10.15,1565.71,1.236,True,FCC
2764,"{""Pd"": 0.35, ""Pt"": 0.1, ""Al"": 0.1, ""Cu"": 0.1, ""Au"": 0.35}",-14.18,11.853,3.528,9.75,1540.488,1.288,True,FCC
2765,"{""Pd"": 0.35, ""Pt"": 0.1, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.3}",-15.42,12.252,3.91,9.75,1541.489,1.225,True,FCC
2766,"{""Pd"": 0.35, ""Pt"": 0.1, ""Al"": 0.1, ""Cu"": 0.2, ""Au"": 0.25}",-16.48,12.441,4.181,9.75,1542.49,1.164,True,FCC
2767,"{""Pd"": 0.35, ""Pt"": 0.1, ""Al"": 0.1, ""Cu"": 0.25, ""Au"": 0.2}",-17.36,12.441,4.36,9.75,1543.491,1.106,True,FCC
2795,"{""Pd"": 0.35, ""Pt"": 0.15, ""Al"": 0.05, ""Cu"": 0.1, ""Au"": 0.35}",-8.78,11.635,3.485,10.1,1596.076,2.115,True,FCC
2796,"{""Pd"": 0.35, ""Pt"": 0.15, ""Al"": 0.05, ""Cu"": 0.15, ""Au"": 0.3}",-10.39,12.035,3.846,10.1,1597.076,1.85,True,FCC
2797,"{""Pd"": 0.35, ""Pt"": 0.15, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.25}",-11.82,12.224,4.098,10.1,1598.077,1.653,True,FCC
2798,"{""Pd"": 0.35, ""Pt"": 0.15, ""Al"": 0.05, ""Cu"": 0.25, ""Au"": 0.2}",-13.07,12.224,4.257,10.1,1599.078,1.496,True,FCC
2799,"{""Pd"": 0.35, ""Pt"": 0.15, ""Al"": 0.05, ""Cu"": 0.3, ""Au"": 0.15}",-14.14,12.035,4.331,10.1,1600.08,1.362,True,FCC
2800,"{""Pd"": 0.35, ""Pt"": 0.15, ""Al"": 0.05, ""Cu"": 0.35, ""Au"": 0.1}",-15.03,11.635,4.321,10.1,1601.08,1.239,True,FCC
2801,"{""Pd"": 0.35, ""Pt"": 0.15, ""Al"": 0.1, ""Cu"": 0.05, ""Au"": 0.35}",-12.89,11.635,2.949,9.7,1574.858,1.422,True,FCC
2802,"{""Pd"": 0.35, ""Pt"": 0.15, ""Al"": 0.1, ""Cu"": 0.1, ""Au"": 0.3}",-14.38,12.252,3.453,9.7,1575.859,1.343,True,FCC
2803,"{""Pd"": 0.35, ""Pt"": 0.15, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.25}",-15.69,12.582,3.812,9.7,1576.86,1.265,True,FCC
2804,"{""Pd"": 0.35, ""Pt"": 0.15, ""Al"": 0.1, ""Cu"": 0.2, ""Au"": 0.2}",-16.82,12.687,4.06,9.7,1577.861,1.19,True,FCC
2805,"{""Pd"": 0.35, ""Pt"": 0.15, ""Al"": 0.1, ""Cu"": 0.25, ""Au"": 0.15}",-17.77,12.582,4.216,9.7,1578.862,1.118,True,FCC
2828,"{""Pd"": 0.35, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.05, ""Au"": 0.35}",-6.94,11.277,2.916,10.05,1630.446,2.649,True,FCC
2829,"{""Pd"": 0.35, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.1, ""Au"": 0.3}",-8.8,11.894,3.399,10.05,1631.446,2.205,True,FCC
2830,"{""Pd"": 0.35, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.15, ""Au"": 0.25}",-10.48,12.224,3.737,10.05,1632.447,1.904,True,FCC
2831,"{""Pd"": 0.35, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.2}",-11.98,12.329,3.966,10.05,1633.448,1.681,True,FCC
2832,"{""Pd"": 0.35, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.25, ""Au"": 0.15}",-13.3,12.224,4.1,10.05,1634.45,1.502,True,FCC
2833,"{""Pd"": 0.35, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.3, ""Au"": 0.1}",-14.44,11.894,4.146,10.05,1635.45,1.347,True,FCC
2834,"{""Pd"": 0.35, ""Pt"": 0.2, ""Al"": 0.05, ""Cu"": 0.35, ""Au"": 0.05}",-15.4,11.277,4.103,10.05,1636.451,1.198,True,FCC
2835,"{""Pd"": 0.35, ""Pt"": 0.2, ""Al"": 0.1, ""Cu"": 0.05, ""Au"": 0.3}",-13.1,11.894,2.883,9.65,1610.229,1.462,True,FCC
2836,"{""Pd"": 0.35, ""Pt"": 0.2, ""Al"": 0.1, ""Cu"": 0.1, ""Au"": 0.25}",-14.66,12.441,3.364,9.65,1611.23,1.367,True,FCC
2837,"{""Pd"": 0.35, ""Pt"": 0.2, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.2}",-16.04,12.687,3.7,9.65,1612.231,1.275,True,FCC
2838,"{""Pd"": 0.35, ""Pt"": 0.2, ""Al"": 0.1, ""Cu"": 0.2, ""Au"": 0.15}",-17.24,12.687,3.925,9.65,1613.232,1.187,True,FCC
2839,"{""Pd"": 0.35, ""Pt"": 0.2, ""Al"": 0.1, ""Cu"": 0.25, ""Au"": 0.1}",-18.26,12.441,4.055,9.65,1614.233,1.1,True,FCC
2856,"{""Pd"": 0.35, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.05, ""Au"": 0.3}",-6.97,11.43,2.838,10.0,1665.816,2.732,True,FCC
2857,"{""Pd"": 0.35, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.1, ""Au"": 0.25}",-8.9,11.977,3.298,10.0,1666.817,2.243,True,FCC
2858,"{""Pd"": 0.35, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.15, ""Au"": 0.2}",-10.65,12.224,3.613,10.0,1667.818,1.914,True,FCC
2859,"{""Pd"": 0.35, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.15}",-12.22,12.224,3.818,10.0,1668.819,1.669,True,FCC
2860,"{""Pd"": 0.35, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.25, ""Au"": 0.1}",-13.61,11.977,3.925,10.0,1669.82,1.469,True,FCC
2861,"{""Pd"": 0.35, ""Pt"": 0.25, ""Al"": 0.05, ""Cu"": 0.3, ""Au"": 0.05}",-14.82,11.43,3.939,10.0,1670.821,1.289,True,FCC
2862,"{""Pd"": 0.35, ""Pt"": 0.25, ""Al"": 0.1, ""Cu"": 0.05, ""Au"": 0.25}",-13.39,11.977,2.802,9.6,1645.6,1.472,True,FCC
2863,"{""Pd"": 0.35, ""Pt"": 0.25, ""Al"": 0.1, ""Cu"": 0.1, ""Au"": 0.2}",-15.02,12.441,3.26,9.6,1646.601,1.364,True,FCC
2864,"{""Pd"": 0.35, ""Pt"": 0.25, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.15}",-16.47,12.582,3.573,9.6,1647.602,1.259,True,FCC
2865,"{""Pd"": 0.35, ""Pt"": 0.25, ""Al"": 0.1, ""Cu"": 0.2, ""Au"": 0.1}",-17.74,12.441,3.773,9.6,1648.603,1.156,True,FCC
2877,"{""Pd"": 0.35, ""Pt"": 0.3, ""Al"": 0.05, ""Cu"": 0.05, ""Au"": 0.25}",-7.08,11.43,2.744,9.95,1701.188,2.746,True,FCC
2878,"{""Pd"": 0.35, ""Pt"": 0.3, ""Al"": 0.05, ""Cu"": 0.1, ""Au"": 0.2}",-9.08,11.894,3.181,9.95,1702.188,2.23,True,FCC
2879,"{""Pd"": 0.35, ""Pt"": 0.3, ""Al"": 0.05, ""Cu"": 0.15, ""Au"": 0.15}",-10.9,12.035,3.473,9.95,1703.189,1.881,True,FCC
2880,"{""Pd"": 0.35, ""Pt"": 0.3, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.1}",-12.54,11.894,3.651,9.95,1704.191,1.616,True,FCC
2881,"{""Pd"": 0.35, ""Pt"": 0.3, ""Al"": 0.05, ""Cu"": 0.25, ""Au"": 0.05}",-14.0,11.43,3.729,9.95,1705.192,1.392,True,FCC
2882,"{""Pd"": 0.35, ""Pt"": 0.3, ""Al"": 0.1, ""Cu"": 0.05, ""Au"": 0.2}",-13.76,11.894,2.703,9.55,1680.971,1.453,True,FCC
2883,"{""Pd"": 0.35, ""Pt"": 0.3, ""Al"": 0.1, ""Cu"": 0.1, ""Au"": 0.15}",-15.46,12.252,3.139,9.55,1681.972,1.333,True,FCC
2884,"{""Pd"": 0.35, ""Pt"": 0.3, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.1}",-16.98,12.252,3.428,9.55,1682.973,1.214,True,FCC
2892,"{""Pd"": 0.35, ""Pt"": 0.35, ""Al"": 0.05, ""Cu"": 0.05, ""Au"": 0.2}",-7.27,11.277,2.63,9.9,1736.558,2.694,True,FCC
2893,"{""Pd"": 0.35, ""Pt"": 0.35, ""Al"": 0.05, ""Cu"": 0.1, ""Au"": 0.15}",-9.34,11.635,3.045,9.9,1737.559,2.165,True,FCC
2894,"{""Pd"": 0.35, ""Pt"": 0.35, ""Al"": 0.05, ""Cu"": 0.15, ""Au"": 0.1}",-11.23,11.635,3.313,9.9,1738.56,1.801,True,FCC
2895,"{""Pd"": 0.35, ""Pt"": 0.35, ""Al"": 0.05, ""Cu"": 0.2, ""Au"": 0.05}",-12.94,11.277,3.463,9.9,1739.561,1.516,True,FCC
2896,"{""Pd"": 0.35, ""Pt"": 0.35, ""Al"": 0.1, ""Cu"": 0.05, ""Au"": 0.15}",-14.21,11.635,2.585,9.5,1716.342,1.405,True,FCC
2897,"{""Pd"": 0.35, ""Pt"": 0.35, ""Al"": 0.1, ""Cu"": 0.1, ""Au"": 0.1}",-15.98,11.853,2.999,9.5,1717.343,1.274,True,FCC
2898,"{""Pd"": 0.35, ""Pt"": 0.35, ""Al"": 0.1, ""Cu"": 0.15, ""Au"": 0.05}",-17.57,11.635,3.263,9.5,1718.344,1.138,True,FCC
2902,"{""Pd"": 0.05, ""Pt"": 0.05, ""Ag"": 0.2, ""Cu"": 0.35, ""Au"": 0.35}",-7.37,11.277,5.539,10.9,1383.613,2.117,True,FCC
2903,"{""Pd"": 0.05, ""Pt"": 0.05, ""Ag"": 0.25, ""Cu"": 0.3, ""Au"": 0.35}",-6.94,11.43,5.331,10.9,1377.433,2.269,True,FCC
2904,"{""Pd"": 0.05, ""Pt"": 0.05, ""Ag"": 0.25, ""Cu"": 0.35, ""Au"": 0.3}",-6.84,11.43,5.547,10.9,1378.434,2.303,True,FCC
2905,"{""Pd"": 0.05, ""Pt"": 0.05, ""Ag"": 0.3, ""Cu"": 0.25, ""Au"": 0.35}",-6.55,11.43,5.05,10.9,1371.253,2.393,True,FCC
2906,"{""Pd"": 0.05, ""Pt"": 0.05, ""Ag"": 0.3, ""Cu"": 0.3, ""Au"": 0.3}",-6.46,11.499,5.339,10.9,1372.254,2.443,True,FCC
2907,"{""Pd"": 0.05, ""Pt"": 0.05, ""Ag"": 0.3, ""Cu"": 0.35, ""Au"": 0.25}",-6.19,11.43,5.556,10.9,1373.255,2.536,True,FCC
2908,"{""Pd"": 0.05, ""Pt"": 0.05, ""Ag"": 0.35, ""Cu"": 0.2, ""Au"": 0.35}",-6.2,11.277,4.684,10.9,1365.073,2.483,True,FCC
2909,"{""Pd"": 0.05, ""Pt"": 0.05, ""Ag"": 0.35, ""Cu"": 0.25, ""Au"": 0.3}",-6.12,11.43,5.056,10.9,1366.074,2.551,True,FCC
2910,"{""Pd"": 0.05, ""Pt"": 0.05, ""Ag"": 0.35, ""Cu"": 0.3, ""Au"": 0.25}",-5.86,11.43,5.346,10.9,1367.075,2.666,True,FCC
2911,"{""Pd"": 0.05, ""Pt"": 0.05, ""Ag"": 0.35, ""Cu"": 0.35, ""Au"": 0.2}",-5.42,11.277,5.564,10.9,1368.076,2.846,True,FCC
2912,"{""Pd"": 0.05, ""Pt"": 0.1, ""Ag"": 0.15, ""Cu"": 0.35, ""Au"": 0.35}",-7.58,11.635,5.444,10.85,1424.163,2.186,True,FCC
2913,"{""Pd"": 0.05, ""Pt"": 0.1, ""Ag"": 0.2, ""Cu"": 0.3, ""Au"": 0.35}",-7.02,11.894,5.257,10.85,1417.983,2.402,True,FCC
2914,"{""Pd"": 0.05, ""Pt"": 0.1, ""Ag"": 0.2, ""Cu"": 0.35, ""Au"": 0.3}",-7.16,11.894,5.453,10.85,1418.984,2.357,True,FCC
2915,"{""Pd"": 0.05, ""Pt"": 0.1, ""Ag"": 0.25, ""Cu"": 0.25, ""Au"": 0.35}",-6.5,11.977,4.996,10.85,1411.803,2.601,True,FCC
2916,"{""Pd"": 0.05, ""Pt"": 0.1, ""Ag"": 0.25, ""Cu"": 0.3, ""Au"": 0.3}",-6.65,12.047,5.265,10.85,1412.804,2.559,True,FCC
2917,"{""Pd"": 0.05, ""Pt"": 0.1, ""Ag"": 0.25, ""Cu"": 0.35, ""Au"": 0.25}",-6.62,11.977,5.462,10.85,1413.805,2.558,True,FCC
2918,"{""Pd"": 0.05, ""Pt"": 0.1, ""Ag"": 0.3, ""Cu"": 0.2, ""Au"": 0.35}",-6.02,11.894,4.651,10.85,1405.623,2.777,True,FCC
2919,"{""Pd"": 0.05, ""Pt"": 0.1, ""Ag"": 0.3, ""Cu"": 0.25, ""Au"": 0.3}",-6.18,12.047,5.003,10.85,1406.624,2.742,True,FCC
2920,"{""Pd"": 0.05, ""Pt"": 0.1, ""Ag"": 0.3, ""Cu"": 0.3, ""Au"": 0.25}",-6.16,12.047,5.273,10.85,1407.625,2.753,True,FCC
2921,"{""Pd"": 0.05, ""Pt"": 0.1, ""Ag"": 0.3, ""Cu"": 0.35, ""Au"": 0.2}",-5.96,11.894,5.471,10.85,1408.626,2.811,True,FCC
